kawasan,negeri,kodparlimen,namaparlimen,SPR_order,calon,parti,parti2,verified_handle,id,posts,followers,following,name,pronoun,bio,link,202111_post_count,202112_post_count,202201_post_count,202202_post_count,202203_post_count,202204_post_count,202205_post_count,202206_post_count,202207_post_count,202208_post_count,202209_post_count,202210_post_count,202211_post_count,L12M_active_min_0,L12M_active_min_1,L12M_active_min_5,L12M_active_min_10,L12M_active_min_15,L12M_active_min_20,L12M_active_min_25,L12M_active_min_30,L12M_active_min_35,L12M_active_min_40,L12M_active_min_45,L12M_active_min_50,L12M_active_min_55,L12M_active_min_60,L12M_active_min_65,L12M_active_min_70,L12M_active_min_75,L12M_active_min_80,L12M_active_min_85,L12M_active_min_90,L12M_active_min_95,L12M_active_min_100,min_monthly_posts,consistency_grade,common_word_top5,hashtag_top3,mentions_top3,location_top3
SEMENANJUNG,W.P KUALA LUMPUR,P.118,SETIAWANGSA,1,NIK NAZMI NIK AHMAD,PAKATAN HARAPAN (PH),PH,niknazminikahmad,309836714.0,1982.0,31377.0,999.0,Nik Nazmi,,✊⚽️🎸📚🇲🇾 KEADILAN Vice President & HARAPAN Setiawangsa candidate. Author of #MalaysianSon. #KitaSetiawangsa,,7.0,10.0,5.0,2.0,10.0,9.0,5.0,7.0,11.0,19.0,19.0,36.0,27.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,C,"harapan, let, desire, robotics, confirmed","#setiawangsa x35, #KitaSetiawangsa x31, #p118setiawangsa x20","@anwaribrahim_my x4, @yaqeeninstitute x2, @setiawangsa.bc x2","Setiawangsa Kuala Lumpur x4, Parlimen Malaysia x3, Kuala Lumpur, Malaysia x3"
SEMENANJUNG,W.P KUALA LUMPUR,P.118,SETIAWANGSA,2,BIBI SUNITA,PARTI PEJUANG TANAHAIR (PEJUANG),PEJUANG,bb.sunita,6817483695.0,187.0,327.0,266.0,Bibi Sunita Sakandar Khan,,🧕Chartered Co.Sec 🧕Commissioners of Oath 👩‍💼Founder of Aliflaila Mgmt Services ❤ Owner of d'Sultanaa Bazaar  🤵‍♀️ Chairman of NGO & COOP GERAKWANIS,https://www.facebook.com/bibisunita.sakandarkhan,1.0,8.0,7.0,6.0,9.0,12.0,17.0,13.0,22.0,9.0,5.0,12.0,8.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,C,"dimana, muda, ibadah, nizam, madrasah","#UpDiri x4, #UPDIRIilmu x2, #gta x2",,"Hospital H.U.K.M, Bandar Tun Razak Cheras. x1"
SEMENANJUNG,W.P KUALA LUMPUR,P.118,SETIAWANGSA,3,IZUDIN BIN ISHAK,BARISAN NASIONAL (BN),BN,dsizudinishak,32741128684.0,382.0,6779.0,677.0,Dato’ Sri Izudin Ishak,,Calon 03 P.118 Setiawangsa #DemiSetiawanga #Tokdin #Teamtokdin #BarisanNasional,,5.0,11.0,4.0,14.0,24.0,29.0,46.0,12.0,17.0,16.0,17.0,52.0,44.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,C,"berpesan, roh, fatihah, karnival, bakal","#Tokdin x155, #Teamtokdin x130, #P118Setiawangsa x66",@DittoRepost x8,"Setiawangsa Kuala Lumpur x67, Perumahan Awam Desa Rejang x3, Masjid Abu Ubaidah Bin Al Jarrah x3"
SEMENANJUNG,W.P KUALA LUMPUR,P.118,SETIAWANGSA,4,STANLEY LIM YEN TIONG,BEBAS (RUMAH),RUMAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P KUALA LUMPUR,P.118,SETIAWANGSA,5,MEJAR MIOR ROSLI TUDM (B),BEBAS (POKOK),POKOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P KUALA LUMPUR,P.118,SETIAWANGSA,6,NURUL FADZILAH BINTI KAMALUDDIN,PERIKATAN NASIONAL (PN),PN,nurulfadzilah26,477390801.0,931.0,3501.0,3438.0,Nurul Fadzilah,,"💜TV Host🎥 BICARA FAIL SYARIAH,TVAlHIJRAH 💜Advocate & Solicitor 💜Syarie Lawyer 💜FADZILAH KAMALUDDIN & CO 💼Peguam Hartanah 👜Peguam Syarie 🌴Nature lover",,9.0,11.0,13.0,9.0,13.0,6.0,7.0,4.0,6.0,18.0,18.0,20.0,10.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,C,"perit, anda, amanah, dato, melayu","#BICARAFAILSYARIAH x10, #FKCO x9, #SrikandiMudaBersatu x9","@srikandimudabersatu x2, @abro.malaysia x2","Fadzilah Kamaluddin & Co. x4, TV AlHijrah Digital Broadcast Centre x3, Glenmarie Hotel & Golf Resort x3"
SEMENANJUNG,W.P KUALA LUMPUR,P.119,TITIWANGSA,1,DR. ROSNI ADAM,PERIKATAN NASIONAL (PN),PN,drrosniadam,4318383637.0,320.0,1893.0,234.0,Rosni Adam,,•Dentist at @klinikpergigianrosniadam •AJK PAS PUSAT 🟢⚪ •Pengerusi Lajnah Kebajikan & Kemasyarakatan Pas Pusat •Tmb. Ketua Dewan Muslimat PAS Malaysia,https://pasrelief.org/permohonan-qurban-aqiqah-2022/,0.0,2.0,1.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,14.0,12.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,D,"pemukiman, kotor, ziarah, harga, muhammad","#drrosniadam x10, #MalaysiaSejahtera x9, #BersihdanStabil x6",,"Klinik Pergigian Rosni Adam x4, Langkawi Island, Malaysia x1, IDCC Convention Centre, Shah Alam x1"
SEMENANJUNG,W.P KUALA LUMPUR,P.119,TITIWANGSA,2,KHALID ABD SAMAD,PAKATAN HARAPAN (PH),PH,khalidsamad_official,8499830760.0,333.0,5256.0,44.0,Khalid Abdul Samad,,AHLI PARLIMEN SHAH ALAM PENGARAH KOMUNIKASI PARTI AMANAH NEGARA,https://www.facebook.com/ybkhalidsamad/,2.0,12.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,28.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,D,"kebaikan, dipermudahkan, menyumbang, hubungan, berjumpa","#PrideofKL x2, #KLCityFC x2, #AmanahPeduli x2",,
SEMENANJUNG,W.P KUALA LUMPUR,P.119,TITIWANGSA,3,DATO' SRI KHAIRUDDIN BIN ABU HASSAN,PARTI PEJUANG TANAHAIR (PEJUANG),PEJUANG,dskhairuddin,47790459526.0,69.0,556.0,64.0,Khairuddin Abu Hassan,,Pengerusi Pejuang Wilayah Persekutuan.,,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,D,"lanje, langgak, lanjan, lani, langganan",,,
SEMENANJUNG,W.P KUALA LUMPUR,P.119,TITIWANGSA,4,DATUK SERI JOHARI GHANI,BARISAN NASIONAL (BN),BN,joharighaniofficial,1329826101.0,1082.0,16160.0,92.0,Johari Abdul Ghani,,Official Account of Datuk Seri Johari Abdul Ghani,http://fb.com/joharighaniofficial,8.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,5.0,6.0,5.0,21.0,9.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,C,"tajikistan, percukaian, rejang, ppz, stadium","#terusberbakti x2, #kestabilanmasadepan x2, #TerusBerbakti x2",,"Masjid Ar-Rahimah Kg Pandan x3, buletinfm x3, Stadium Titiwangsa x2"
