negeri,kodparlimen,namaparlimen,calon,parti,undi
PAHANG,P.084,PAYA BESAR,Ir. ROSMINAHAR,PARTI PEJUANG TANAHAIR (PEJUANG),310
PAHANG,P.084,PAYA BESAR,AHMAD AZAM,PAKATAN HARAPAN (PH),"9,192"
PAHANG,P.084,PAYA BESAR,DATO' INDERA MOHD SHAHAR BIN ABDULLAH,BARISAN NASIONAL (BN),"26,899"
PAHANG,P.085,PEKAN,SH MOHMED PUZI BIN SH ALI,BARISAN NASIONAL (BN),"47,418"
PAHANG,P.085,PEKAN,MOHD NAIM ZAINAL ABIDIN,PAKATAN HARAPAN (PH),"6,316"
PAHANG,P.085,PEKAN,TENGKU DATO' HISHAM,BEBAS (RUMAH),366
PAHANG,P.085,PEKAN,DATO' RADHI ABDUL RAZAK,PARTI PEJUANG TANAHAIR (PEJUANG),472
PAHANG,P.085,PEKAN,USTAZ MOHD FADHIL NOOR,PERIKATAN NASIONAL (PN),"38,469"
PAHANG,P.086,MARAN,MUHAMAD HAFIZ AL-HAFIZ,BEBAS (PEN),166
PAHANG,P.086,MARAN,SHAHANIZA SHAMSUDDIN,BARISAN NASIONAL (BN),"17,779"
PAHANG,P.086,MARAN,DATO SRI DR HJ ISMAIL B HJ ABD MUTTALIB,PERIKATAN NASIONAL (PN),"19,600"
PAHANG,P.086,MARAN,AHMAD SHUHOR,PAKATAN HARAPAN (PH),"3,547"
PAHANG,P.087,KUALA KRAU,DATO' SRI DR HAJI ISMAIL BIN MOHAMED SAID,BARISAN NASIONAL (BN),"21,481"
PAHANG,P.087,KUALA KRAU,USTAZ HAJI KAMAL BIN ASHAARI,PERIKATAN NASIONAL (PN),"22,505"
PAHANG,P.087,KUALA KRAU,JUHARI OSMAN,PAKATAN HARAPAN (PH),"3,593"
PAHANG,P.087,KUALA KRAU,SHAHRUDDIN MOHAMED SALLEH,PARTI PEJUANG TANAHAIR (PEJUANG),174
PAHANG,P.088,TEMERLOH,DATO' SRI HJ MOHD SHARKAR BIN HJ SHAMSUDIN,BARISAN NASIONAL (BN),"25,191"
PAHANG,P.088,TEMERLOH,HJH SALAMIAH MOHD NOR,PERIKATAN NASIONAL (PN),"30,929"
PAHANG,P.088,TEMERLOH,HASBIE MUDA,PAKATAN HARAPAN (PH),"25,409"
PAHANG,P.088,TEMERLOH,AMINUDDIN BIN YAHAYA,PARTI PEJUANG TANAHAIR (PEJUANG),"1,108"
PAHANG,P.089,BENTONG,ACHIK KHALIL,BEBAS (PEN),168
PAHANG,P.089,BENTONG,YOUNG SYEFURA BINTI OTHMAN,PAKATAN HARAPAN (PH),"25,075"
PAHANG,P.089,BENTONG,TAN SRI LIOW TIONG LAI,BARISAN NASIONAL (BN),"24,383"
PAHANG,P.089,BENTONG,DATUK ROSLAN HASSAN,PERIKATAN NASIONAL (PN),"16,233"
PAHANG,P.089,BENTONG,WONG TACK,BEBAS (CANGKUL),798
PAHANG,P.090,BERA,DATO ASMAWI,PERIKATAN NASIONAL (PN),"12,719"
PAHANG,P.090,BERA,ISMAIL SABRI BIN YAAKOB,BARISAN NASIONAL (BN),"31,762"
PAHANG,P.090,BERA,HAJI ABAS BIN AWANG,PAKATAN HARAPAN (PH),"15,067"
PAHANG,P.091,ROMPIN,HAMIZI BIN HUSSAIN,BEBAS (BUKU),408
PAHANG,P.091,ROMPIN,DATO' SRI HAJI HASAN BIN ARIFIN,BARISAN NASIONAL (BN),"30,151"
PAHANG,P.091,ROMPIN,DATO' KHALIB,PERIKATAN NASIONAL (PN),"31,589"
PAHANG,P.091,ROMPIN,ERMAN SHAH,PAKATAN HARAPAN (PH),"4,779"
SELANGOR,P.092,SABAK BERNAM,DATO` SRI EIZLAN YUSOF,PARTI PEJUANG TANAHAIR (PEJUANG),460
SELANGOR,P.092,SABAK BERNAM,ABD RAHMAN BIN BAKRI,BARISAN NASIONAL (BN),"12,917"
SELANGOR,P.092,SABAK BERNAM,CIKGU KALAM BIN SALAN,PERIKATAN NASIONAL (PN),"17,973"
SELANGOR,P.092,SABAK BERNAM,HJ. SHAMSUL MA`ARIF ISMAIL,PAKATAN HARAPAN (PH),"9,627"
SELANGOR,P.093,SUNGAI BESAR,DATO' SRI JAMAL YUNOS,BARISAN NASIONAL (BN),"13,984"
SELANGOR,P.093,SUNGAI BESAR,DATO' ASMAWAR BIN SAMAT,PARTI PEJUANG TANAHAIR (PEJUANG),225
SELANGOR,P.093,SUNGAI BESAR,CIKGU MUSLIMIN YAHAYA,PERIKATAN NASIONAL (PN),"19,791"
SELANGOR,P.093,SUNGAI BESAR,HJ SAIPOLYAZAN M YUSOP,PAKATAN HARAPAN (PH),"17,070"
SELANGOR,P.094,HULU SELANGOR,AZLINDA BINTI BARONI,BEBAS (PEN),446
SELANGOR,P.094,HULU SELANGOR,DATUK T.MOHAN,BARISAN NASIONAL (BN),"27,050"
SELANGOR,P.094,HULU SELANGOR,HARUMAINI BIN HAJI OMAR,PARTI PEJUANG TANAHAIR (PEJUANG),"1,849"
SELANGOR,P.094,HULU SELANGOR,DR. SATHIA PRAKASH NADARAJAN,PAKATAN HARAPAN (PH),"45,261"
SELANGOR,P.094,HULU SELANGOR,HANIZA TALHA,PARTI BANGSA MALAYSIA (PBM),"1,013"
SELANGOR,P.094,HULU SELANGOR,HASNIZAN HARUN,PERIKATAN NASIONAL (PN),"46,823"
SELANGOR,P.095,TANJONG KARANG,LANDO BROTHERHOOD,PARTI PEJUANG TANAHAIR (PEJUANG),"3,557"
SELANGOR,P.095,TANJONG KARANG,MOHD ROSNI,BEBAS (POKOK),"1,406"
SELANGOR,P.095,TANJONG KARANG,KAPT (B) DATO DR ZULKAFPERI,PERIKATAN NASIONAL (PN),"18,054"
SELANGOR,P.095,TANJONG KARANG,CIKGU RAHAYU,PARTI IKATAN DEMOKRATIK MALAYSIA (MUDA),"12,314"
SELANGOR,P.095,TANJONG KARANG,DATO' HJH. HABIBAH,BARISAN NASIONAL (BN),"15,874"
SELANGOR,P.096,KUALA SELANGOR,TENGKU ZAFRUL AZIZ,BARISAN NASIONAL (BN),"30,031"
SELANGOR,P.096,KUALA SELANGOR,YB SHAID ROSLI,PARTI PEJUANG TANAHAIR (PEJUANG),"1,778"
SELANGOR,P.096,KUALA SELANGOR,DS DR DZULKEFLY BIN AHMAD,PAKATAN HARAPAN (PH),"31,033"
SELANGOR,P.096,KUALA SELANGOR,USTAZ MOHD NOOR SHAHAR,PERIKATAN NASIONAL (PN),"23,639"
SELANGOR,P.097,SELAYANG,DATUK ABDUL RASHID ASARI,PERIKATAN NASIONAL (PN),"49,154"
SELANGOR,P.097,SELAYANG,CHAN WUN HOONG,BARISAN NASIONAL (BN),"19,425"
SELANGOR,P.097,SELAYANG,SALLEH AMIRUDDIN,PARTI PEJUANG TANAHAIR (PEJUANG),"2,584"
SELANGOR,P.097,SELAYANG,MUHAMMAD ZAKI BIN OMAR,BEBAS (PEN),945
SELANGOR,P.097,SELAYANG,WILLIAM LEONG JEE KEEN,PAKATAN HARAPAN (PH),"72,773"
SELANGOR,P.098,GOMBAK,DATO' SERI AZMIN ALI,PERIKATAN NASIONAL (PN),"59,538"
SELANGOR,P.098,GOMBAK,AMIRUDIN SHARI,PAKATAN HARAPAN (PH),"72,267"
SELANGOR,P.098,GOMBAK,DATUK DR. AZIZ JAMALUDIN,PARTI PEJUANG TANAHAIR (PEJUANG),"2,223"
SELANGOR,P.098,GOMBAK,Ir Hj ZULKIFLI,BEBAS (PEN),675
SELANGOR,P.098,GOMBAK,MEGAT ZULKARNAIN BIN OMARDIN,BARISAN NASIONAL (BN),"30,723"
SELANGOR,P.099,AMPANG,RODZIAH ISMAIL,PAKATAN HARAPAN (PH),"56,754"
SELANGOR,P.099,AMPANG,IVONE LOW YI WEN,BARISAN NASIONAL (BN),"11,509"
SELANGOR,P.099,AMPANG,M.RAVEEN,BEBAS (PEN),148
SELANGOR,P.099,AMPANG,ZURAIDA BINTI KAMARUDDIN,PARTI BANGSA MALAYSIA (PBM),"4,589"
SELANGOR,P.099,AMPANG,DR. NURUL ASHIKIN,PARTI PEJUANG TANAHAIR (PEJUANG),"2,653"
SELANGOR,P.099,AMPANG,BRYAN LAI,PARTI WARISAN SABAH (WARISAN),"1,423"
SELANGOR,P.099,AMPANG,SASHA LYNA,PERIKATAN NASIONAL (PN),"27,073"
SELANGOR,P.099,AMPANG,MUHAMMAD SHAFIQ IZWAN BIN MOHD YUNOS,BEBAS (JAM),188
SELANGOR,P.099,AMPANG,TAN HUA MENG,BEBAS (GAJAH),93
SELANGOR,P.100,PANDAN,RAFIZI RAMLI,PAKATAN HARAPAN (PH),"74,002"
SELANGOR,P.100,PANDAN,ONG TEE KEAT,PARTI WARISAN SABAH (WARISAN),"3,323"
SELANGOR,P.100,PANDAN,FARIQUE ZUBIR,PERIKATAN NASIONAL (PN),"25,706"
SELANGOR,P.100,PANDAN,NADIA HANAFIAH,PARTI PEJUANG TANAHAIR (PEJUANG),961
SELANGOR,P.100,PANDAN,LEONG KOK WEE,BARISAN NASIONAL (BN),"11,664"
SELANGOR,P.101,HULU LANGAT,YB MOHD SANY HAMZAN,PAKATAN HARAPAN (PH),"58,382"
SELANGOR,P.101,HULU LANGAT,DATO HAJI MARKIMAN KOBIRAN,PARTI PEJUANG TANAHAIR (PEJUANG),"1,655"
SELANGOR,P.101,HULU LANGAT,DATO' ABDUL RAHMAN BIN JAAFAR,PARTI WARISAN SABAH (WARISAN),370
SELANGOR,P.101,HULU LANGAT,DATUK WIRA HAJI JOHAN BIN ABD AZIZ,BARISAN NASIONAL (BN),"32,570"
SELANGOR,P.101,HULU LANGAT,DR MOHAMED MUSTAFA,BEBAS (POKOK),326
SELANGOR,P.101,HULU LANGAT,DATO' DR. MOHD RADZI ABD LATIF,PERIKATAN NASIONAL (PN),"43,486"
SELANGOR,P.102,BANGI,NAZRUL NAZIR,PERIKATAN NASIONAL (PN),"71,867"
SELANGOR,P.102,BANGI,DR. JAMAL,BEBAS (KUNCI),676
SELANGOR,P.102,BANGI,HOH HEE LEE,BARISAN NASIONAL (BN),"25,685"
SELANGOR,P.102,BANGI,FAUZI HASIM,BEBAS (PEN),401
SELANGOR,P.102,BANGI,ASSOCIATE PROF. SUTHAN M,BEBAS (CANGKUL),194
SELANGOR,P.102,BANGI,CHEE CHEE MENG,PARTI RAKYAT MALAYSIA (PRM),752
SELANGOR,P.102,BANGI,SYAHREDZAN BIN JOHAN,PAKATAN HARAPAN (PH),"141,568"
SELANGOR,P.102,BANGI,USTAZ ANNUAR BIN SALLEH,PARTI PEJUANG TANAHAIR (PEJUANG),"3,148"
SELANGOR,P.103,PUCHONG,YEO BEE YIN,PAKATAN HARAPAN (PH),"79,425"
SELANGOR,P.103,PUCHONG,UNCLE KENTANG,BEBAS (TELEFON),"1,793"
SELANGOR,P.103,PUCHONG,DATUK SERI HAJI SYED IBRAHIM,BARISAN NASIONAL (BN),"21,468"
SELANGOR,P.103,PUCHONG,JIMMY CHEW JYH GANG,PERIKATAN NASIONAL (PN),"18,263"
SELANGOR,P.104,SUBANG,ALEX ANG H N,PERIKATAN NASIONAL (PN),"23,185"
SELANGOR,P.104,SUBANG,DR KOW,BARISAN NASIONAL (BN),"16,539"
SELANGOR,P.104,SUBANG,WONG CHEN,PAKATAN HARAPAN (PH),"138,259"
SELANGOR,P.105,PETALING JAYA,DATUK EZAM MOHD NOR,PARTI RAKYAT MALAYSIA (PRM),"2,049"
SELANGOR,P.105,PETALING JAYA,DR. K. J. JOHN,BEBAS (KUNCI),461
SELANGOR,P.105,PETALING JAYA,CHEW HIAN TAT,BARISAN NASIONAL (BN),"23,253"
SELANGOR,P.105,PETALING JAYA,MAZWEEN MOKHTAR,PARTI PEJUANG TANAHAIR (PEJUANG),"4,052"
SELANGOR,P.105,PETALING JAYA,DATO THENG BOOK,PERIKATAN NASIONAL (PN),"32,736"
SELANGOR,P.105,PETALING JAYA,LEE CHEAN CHUNG,PAKATAN HARAPAN (PH),"83,311"
SELANGOR,P.106,DAMANSARA,GOBIND SINGH DEO,PAKATAN HARAPAN (PH),"142,875"
SELANGOR,P.106,DAMANSARA,LIM SI CHING,PERIKATAN NASIONAL (PN),"18,256"
SELANGOR,P.106,DAMANSARA,TAN GIM TUAN GT,BARISAN NASIONAL (BN),"13,806"
SELANGOR,P.107,SUNGAI BULOH,AHMAD JUFLIZ,PARTI RAKYAT MALAYSIA (PRM),279
SELANGOR,P.107,SUNGAI BULOH,AKMAL YUSOFF,PARTI PEJUANG TANAHAIR (PEJUANG),829
SELANGOR,P.107,SUNGAI BULOH,SIFU LINDA,BEBAS (BUKU),113
SELANGOR,P.107,SUNGAI BULOH,KHAIRY JAMALUDDIN,BARISAN NASIONAL (BN),"48,250"
SELANGOR,P.107,SUNGAI BULOH,SYED RAZAK ALSAGOFF,BEBAS (BEBAS),165
SELANGOR,P.107,SUNGAI BULOH,RAMANAN RAMAKRISHNAN,PAKATAN HARAPAN (PH),"50,943"
SELANGOR,P.107,SUNGAI BULOH,HJ MOHD GHAZALI BIN MD HAMIN,PERIKATAN NASIONAL (PN),"29,060"
SELANGOR,P.108,SHAH ALAM,AZLI YUSOF,PAKATAN HARAPAN (PH),"61,409"
SELANGOR,P.108,SHAH ALAM,RAFIQUE RASHID,PARTI PEJUANG TANAHAIR (PEJUANG),"2,781"
SELANGOR,P.108,SHAH ALAM,ISHAM JALIL,BARISAN NASIONAL (BN),"28,266"
SELANGOR,P.108,SHAH ALAM,DR. AFIF BAHARDIN,PERIKATAN NASIONAL (PN),"43,314"
SELANGOR,P.109,KAPAR,MUHAMMAD BIN NOOR AZMAN,BARISAN NASIONAL (BN),"35,079"
SELANGOR,P.109,KAPAR,DR DAROYAH BINTI ALWI,PARTI BANGSA MALAYSIA (PBM),"1,474"
SELANGOR,P.109,KAPAR,UST. HJ. MOHD PATHAN BIN HUSSIN,PARTI PEJUANG TANAHAIR (PEJUANG),"1,015"
SELANGOR,P.109,KAPAR,DR HALIMAH ALI,PERIKATAN NASIONAL (PN),"65,751"
SELANGOR,P.109,KAPAR,DATO' SERI RAHIM,PARTI WARISAN SABAH (WARISAN),265
SELANGOR,P.109,KAPAR,DATO' SRI SIVALINGAM,BEBAS (GAJAH),477
SELANGOR,P.109,KAPAR,ABDULLAH SANI,PAKATAN HARAPAN (PH),"53,969"
SELANGOR,P.110,KLANG,DR JAYA,PERIKATAN NASIONAL (PN),"23,738"
SELANGOR,P.110,KLANG,HEDRHIN RAMLI @ AWIN,BEBAS (RUMAH),"3,016"
SELANGOR,P.110,KLANG,TEE HOOI LING,BARISAN NASIONAL (BN),"19,762"
SELANGOR,P.110,KLANG,DR. LOO CHENG WEE,PARTI WARISAN SABAH (WARISAN),"1,140"
SELANGOR,P.110,KLANG,CHANDRASEGAR,PARTI RAKYAT MALAYSIA (PRM),271
SELANGOR,P.110,KLANG,GANABATIRAU A/L VERAMAN,PAKATAN HARAPAN (PH),"115,539"
SELANGOR,P.110,KLANG,DEEPAK JAIKISHAN,BEBAS (CINCIN),439
SELANGOR,P.111,KOTA RAJA,FAHMI BAZLAN MUDA,PARTI PEJUANG TANAHAIR (PEJUANG),"2,063"
SELANGOR,P.111,KOTA RAJA,HAJI MOHAMED DIAH BAHARUN,PERIKATAN NASIONAL (PN),"49,308"
SELANGOR,P.111,KOTA RAJA,KUMAR KARANANEDI,BEBAS (CANGKUL),163
SELANGOR,P.111,KOTA RAJA,KAJENDRAN,BARISAN NASIONAL (BN),"22,225"
SELANGOR,P.111,KOTA RAJA,MOHD SABU,PAKATAN HARAPAN (PH),"123,306"
SELANGOR,P.111,KOTA RAJA,P.RAVEENTHARAN A/L A.PERIASAMY,BEBAS (GAJAH),209
SELANGOR,P.111,KOTA RAJA,SARAH AFIQAH,PARTI RAKYAT MALAYSIA (PRM),360
SELANGOR,P.111,KOTA RAJA,SURENDHAR SELVARAJU,BEBAS (BEBAS),106
SELANGOR,P.112,KUALA LANGAT,HAJAH ZANARIAH JUMHURI,BEBAS (PEN),512
SELANGOR,P.112,KUALA LANGAT,MOHANA MUNIANDY,BARISAN NASIONAL (BN),"18,685"
SELANGOR,P.112,KUALA LANGAT,MOHD RIDZUAN ABDULLAH,PARTI PEJUANG TANAHAIR (PEJUANG),591
SELANGOR,P.112,KUALA LANGAT,DR AHMAD YUNUS HAIRI,PERIKATAN NASIONAL (PN),"52,867"
SELANGOR,P.112,KUALA LANGAT,GANESKUMAR,PARTI RAKYAT MALAYSIA (PRM),171
SELANGOR,P.112,KUALA LANGAT,MANIVANAN GOWIN,PAKATAN HARAPAN (PH),"51,034"
SELANGOR,P.113,SEPANG,SYAHRUL AMRI MAT SARI,BEBAS (PEN),319
SELANGOR,P.113,SEPANG,CHE ASMAH IBRAHIM,PARTI PEJUANG TANAHAIR (PEJUANG),"2,337"
SELANGOR,P.113,SEPANG,DAUD LEONG,PARTI UTAMA RAKYAT (PUR),264
SELANGOR,P.113,SEPANG,AIMAN ATHIRAH,PAKATAN HARAPAN (PH),"56,264"
SELANGOR,P.113,SEPANG,M. MUNESWARAN,BEBAS (GAJAH),194
SELANGOR,P.113,SEPANG,DATUK SERI RINA HARUN,PERIKATAN NASIONAL (PN),"47,315"
SELANGOR,P.113,SEPANG,ANUAR BIN BASIRAN,BARISAN NASIONAL (BN),"31,097"
SELANGOR,P.113,SEPANG,NAGESWARAN RAVI,PARTI RAKYAT MALAYSIA (PRM),165
W.P KUALA LUMPUR,P.114,KEPONG,PHAANG JING FATT,PERIKATAN NASIONAL (PN),"2,795"
W.P KUALA LUMPUR,P.114,KEPONG,SHAUN YOUNG,PARTI WARISAN SABAH (WARISAN),528
W.P KUALA LUMPUR,P.114,KEPONG,YAP ZHENG HOE,BARISAN NASIONAL (BN),"3,227"
W.P KUALA LUMPUR,P.114,KEPONG,LIM LIP ENG,PAKATAN HARAPAN (PH),"64,308"
W.P KUALA LUMPUR,P.114,KEPONG,YEE POH PING,BEBAS (GAJAH),"1,461"
W.P KUALA LUMPUR,P.115,BATU,SITI KASIM,BEBAS (BEBAS),653
W.P KUALA LUMPUR,P.115,BATU,TIAN CHUA,BEBAS (KERUSI),"4,603"
W.P KUALA LUMPUR,P.115,BATU,PRABAKARAN PARAMESWARAN,PAKATAN HARAPAN (PH),"45,716"
W.P KUALA LUMPUR,P.115,BATU,ZULKIFLI FATTAH,PARTI RAKYAT MALAYSIA (PRM),137
W.P KUALA LUMPUR,P.115,BATU,TOO GAO LAN,BEBAS (KUNCI),112
W.P KUALA LUMPUR,P.115,BATU,WAN AZLIANA,PARTI PEJUANG TANAHAIR (PEJUANG),849
W.P KUALA LUMPUR,P.115,BATU,USTAZ AZHAR YAHYA,PERIKATAN NASIONAL (PN),"23,475"
W.P KUALA LUMPUR,P.115,BATU,NATHAN BATU,PARTI WARISAN SABAH (WARISAN),575
W.P KUALA LUMPUR,P.115,BATU,A. KOHILAN PILLAY,BARISAN NASIONAL (BN),"10,398"
W.P KUALA LUMPUR,P.115,BATU,NUR FATHIAH SYAZWANA @ CLEO,BEBAS (POKOK),628
W.P KUALA LUMPUR,P.116,WANGSA MAJU,ZAHIR HASSAN,PAKATAN HARAPAN (PH),"46,031"
W.P KUALA LUMPUR,P.116,WANGSA MAJU,WEE CHOO KEONG,PARTI WARISAN SABAH (WARISAN),576
W.P KUALA LUMPUR,P.116,WANGSA MAJU,SHAFEI ABDULLAH,BARISAN NASIONAL (BN),"19,595"
W.P KUALA LUMPUR,P.116,WANGSA MAJU,RAVEE SUNTHERALINGAM,BEBAS (KUNCI),216
W.P KUALA LUMPUR,P.116,WANGSA MAJU,USTAZAH NURIDAH,PERIKATAN NASIONAL (PN),"25,335"
W.P KUALA LUMPUR,P.116,WANGSA MAJU,NORZAILA,PARTI PEJUANG TANAHAIR (PEJUANG),987
W.P KUALA LUMPUR,P.117,SEGAMBUT,PRABAGARAN,PERIKATAN NASIONAL (PN),"8,754"
W.P KUALA LUMPUR,P.117,SEGAMBUT,DANIEL LING SIA CHIN,BARISAN NASIONAL (BN),"8,304"
W.P KUALA LUMPUR,P.117,SEGAMBUT,HANNAH YEOH,PAKATAN HARAPAN (PH),"68,438"
W.P KUALA LUMPUR,P.118,SETIAWANGSA,NIK NAZMI NIK AHMAD,PAKATAN HARAPAN (PH),"34,434"
W.P KUALA LUMPUR,P.118,SETIAWANGSA,BIBI SUNITA,PARTI PEJUANG TANAHAIR (PEJUANG),953
W.P KUALA LUMPUR,P.118,SETIAWANGSA,IZUDIN BIN ISHAK,BARISAN NASIONAL (BN),"16,333"
W.P KUALA LUMPUR,P.118,SETIAWANGSA,STANLEY LIM YEN TIONG,BEBAS (RUMAH),282
W.P KUALA LUMPUR,P.118,SETIAWANGSA,MEJAR MIOR ROSLI TUDM (B),BEBAS (POKOK),492
W.P KUALA LUMPUR,P.118,SETIAWANGSA,NURUL FADZILAH BINTI KAMALUDDIN,PERIKATAN NASIONAL (PN),"22,270"
W.P KUALA LUMPUR,P.119,TITIWANGSA,DR. ROSNI ADAM,PERIKATAN NASIONAL (PN),"14,518"
W.P KUALA LUMPUR,P.119,TITIWANGSA,KHALID ABD SAMAD,PAKATAN HARAPAN (PH),"20,410"
W.P KUALA LUMPUR,P.119,TITIWANGSA,DATO' SRI KHAIRUDDIN BIN ABU HASSAN,PARTI PEJUANG TANAHAIR (PEJUANG),888
W.P KUALA LUMPUR,P.119,TITIWANGSA,DATUK SERI JOHARI GHANI,BARISAN NASIONAL (BN),"25,042"
W.P KUALA LUMPUR,P.120,BUKIT BINTANG,EDWIN CHEN,PERIKATAN NASIONAL (PN),"4,259"
W.P KUALA LUMPUR,P.120,BUKIT BINTANG,FONG KUI LUN,PAKATAN HARAPAN (PH),"43,827"
W.P KUALA LUMPUR,P.120,BUKIT BINTANG,TAN TEIK PENG,BARISAN NASIONAL (BN),"4,850"
W.P KUALA LUMPUR,P.121,LEMBAH PANTAI,DR. ASMAH,PARTI PEJUANG TANAHAIR (PEJUANG),810
W.P KUALA LUMPUR,P.121,LEMBAH PANTAI,HAJI FAUZI ABU BAKAR,PERIKATAN NASIONAL (PN),"19,098"
W.P KUALA LUMPUR,P.121,LEMBAH PANTAI,FAHMI FADZIL,PAKATAN HARAPAN (PH),"35,359"
W.P KUALA LUMPUR,P.121,LEMBAH PANTAI,RAMLAN ASKOLANI,BARISAN NASIONAL (BN),"21,447"
W.P KUALA LUMPUR,P.122,SEPUTEH,LEE KAH HING,BARISAN NASIONAL (BN),"6,032"
W.P KUALA LUMPUR,P.122,SEPUTEH,WONG YEE YENG,PERIKATAN NASIONAL (PN),"6,047"
W.P KUALA LUMPUR,P.122,SEPUTEH,CHOY SAN YEH,BEBAS (BEBAS),865
W.P KUALA LUMPUR,P.122,SEPUTEH,TERESA KOK,PAKATAN HARAPAN (PH),"73,234"
W.P KUALA LUMPUR,P.122,SEPUTEH,LEE WAI HONG,BEBAS (ARNAB),"1,276"
W.P KUALA LUMPUR,P.123,CHERAS,TAN KOK WAI,PAKATAN HARAPAN (PH),"60,294"
W.P KUALA LUMPUR,P.123,CHERAS,CHONG YEW CHUAN,BARISAN NASIONAL (BN),"5,606"
W.P KUALA LUMPUR,P.123,CHERAS,RUBY CHIN,PERIKATAN NASIONAL (PN),"5,846"
W.P KUALA LUMPUR,P.124,BANDAR TUN RAZAK,DATO' SERI DR WAN AZIZAH BINTI WAN ISMAIL,PAKATAN HARAPAN (PH),"43,476"
W.P KUALA LUMPUR,P.124,BANDAR TUN RAZAK,DATUK CHEW YIN KEEN,BARISAN NASIONAL (BN),"15,886"
W.P KUALA LUMPUR,P.124,BANDAR TUN RAZAK,DATO KAMARUDIN JAFFAR,PERIKATAN NASIONAL (PN),"33,659"
W.P PUTRAJAYA,P.125,PUTRAJAYA,TENGKU ADNAN BIN TENGKU MANSOR,BARISAN NASIONAL (BN),"13,692"
W.P PUTRAJAYA,P.125,PUTRAJAYA,NORAISHAH MYDIN BINTI HAJI ABDUL AZIZ,PAKATAN HARAPAN (PH),"5,988"
W.P PUTRAJAYA,P.125,PUTRAJAYA,DATO' MOHD ROSLI BIN RAMLI,PARTI PEJUANG TANAHAIR (PEJUANG),878
W.P PUTRAJAYA,P.125,PUTRAJAYA,SAMSUDIN PKPKL,BEBAS (PEN),63
W.P PUTRAJAYA,P.125,PUTRAJAYA,DR. RADZI JIDIN (DRJ),PERIKATAN NASIONAL (PN),"16,002"
W.P PUTRAJAYA,P.125,PUTRAJAYA,LIM FICE BEE,BEBAS (POKOK),20
NEGERI SEMBILAN,P.126,JELEBU,AHMAD FAKHRI,PARTI PEJUANG TANAHAIR (PEJUANG),253
NEGERI SEMBILAN,P.126,JELEBU,JALALUDDIN BIN ALIAS,BARISAN NASIONAL (BN),"21,805"
NEGERI SEMBILAN,P.126,JELEBU,DATO' ZULKEFLY OMAR,PAKATAN HARAPAN (PH),"13,680"
NEGERI SEMBILAN,P.126,JELEBU,ZAHARUDDIN BABA SAMION,PERIKATAN NASIONAL (PN),"9,596"
NEGERI SEMBILAN,P.127,JEMPOL,AFFENDY SALLEH,PERIKATAN NASIONAL (PN),"16,722"
NEGERI SEMBILAN,P.127,JEMPOL,TAN SRI KHALID YUNUS,PARTI PEJUANG TANAHAIR (PEJUANG),654
NEGERI SEMBILAN,P.127,JEMPOL,DATO' HAJI SHAMSHULKAHAR BIN HAJI MOHD DELI,BARISAN NASIONAL (BN),"30,138"
NEGERI SEMBILAN,P.127,JEMPOL,NORWANI AHMAT,PAKATAN HARAPAN (PH),"24,281"
NEGERI SEMBILAN,P.128,SEREMBAN,LOKE SIEW FOOK,PAKATAN HARAPAN (PH),"63,916"
NEGERI SEMBILAN,P.128,SEREMBAN,IZZAT LESLY,BEBAS (PEN),373
NEGERI SEMBILAN,P.128,SEREMBAN,FELICIA WONG,BARISAN NASIONAL (BN),"24,584"
NEGERI SEMBILAN,P.128,SEREMBAN,SJN (B) MOHAMAD JANI,PARTI PEJUANG TANAHAIR (PEJUANG),"1,336"
NEGERI SEMBILAN,P.128,SEREMBAN,HAJI FADLI CHE ME,PERIKATAN NASIONAL (PN),"33,075"
NEGERI SEMBILAN,P.129,KUALA PILAH,KAMARULZAMAN KAMDIAS,PARTI PEJUANG TANAHAIR (PEJUANG),406
NEGERI SEMBILAN,P.129,KUALA PILAH,EDDIN SYAZLEE,PERIKATAN NASIONAL (PN),"11,560"
NEGERI SEMBILAN,P.129,KUALA PILAH,AZMAN BIN IDRIS,PARTI WARISAN SABAH (WARISAN),333
NEGERI SEMBILAN,P.129,KUALA PILAH,NOR AZMAN MOHAMAD,PAKATAN HARAPAN (PH),"14,940"
NEGERI SEMBILAN,P.129,KUALA PILAH,DATO' HJ ADNAN HJ ABU HASSAN,BARISAN NASIONAL (BN),"21,423"
NEGERI SEMBILAN,P.130,RASAH,NG KIAN NAM,BARISAN NASIONAL (BN),"19,447"
NEGERI SEMBILAN,P.130,RASAH,DAVID CHOONG,PERIKATAN NASIONAL (PN),"18,810"
NEGERI SEMBILAN,P.130,RASAH,CHA KEE CHIN,PAKATAN HARAPAN (PH),"81,434"
NEGERI SEMBILAN,P.131,REMBAU,HJ. NAZREE YUNUS,PERIKATAN NASIONAL (PN),"21,875"
NEGERI SEMBILAN,P.131,REMBAU,TOK MAT,BARISAN NASIONAL (BN),"53,075"
NEGERI SEMBILAN,P.131,REMBAU,JUFITRI JOHA,PAKATAN HARAPAN (PH),"33,178"
NEGERI SEMBILAN,P.131,REMBAU,CIKGU TINA,PARTI SOSIALIS MALAYSIA (PSM),779
NEGERI SEMBILAN,P.131,REMBAU,RAMLY BIN AWALLUDIN,PARTI PEJUANG TANAHAIR (PEJUANG),529
